명칭,주소,위도,경도,개요,영업시간,쉬는날,상세정보,카테고리
중곡동 가구거리,서울특별시 광진구 천호대로,37.5571404902,127.0796620717,중곡동 가구거리는 1960년대 형성된 곳으로 어린이 대공원 후문에서 군자로 사이에 리바트 삼익가구 등 대형업체의 대리점부터 중소 가구업체까지 65여 개 정도의 숍이 늘어서 있다. 다양한 브랜드의 가구를 비교할 수 있는 중곡동 가구거리는 일반적인 가구는 물론 고급 가구 사무용 가구 학생용 가구 등 다양한 디자인과 용도의 가구들이 전시되어 있다. 또한 가구점마다 주차장을 갖추고 있어 편리한 쇼핑을 할 수 있다.,매장별 상이,매장별 상이,제조자 이름: 입점브랜드:리바트 / 금성침대 / 삼익가구 등,쇼핑
우석공예사,서울특별시 종로구 창경궁로 88 2층 특관,37.5701042119,126.999680101,은행잎 표 제품들은 엄격한 검사 기준과 품질관리로 출고되며 일본 등 세계 각지로 수출하여 호평받고 있다. 결혼 준비 혼수용품 혹은 외국에 선물이나 기념품 등을 주로 생산하며 우리가 미처 몰랐던 전통공예의 멋을 살려 어디에 내놓아도 손색없는 품위와 다양한 디자인으로 호평받고 있다.,10:00~17:00,매주 일요일,,쇼핑
밀리오레 명동점,"서울특별시 중구 퇴계로 115 (충무로1가) 1, 2층",37.5611022086,126.984540069,한국 대표 관광지 명동에 위치한 쇼핑몰 밀리오레 명동점은 2024년 8월에 리모델링 후 재오픈하였다. 명동역 6번 출구 바로 앞에 위치해 있다. 1층과 2층은 쇼핑몰이고 3층부터 17층은 호텔로 운영 중이다. 한 곳에서 쇼핑과 숙박이 모두 가능한 복합문화공간이다. 밀리오레 쇼핑몰 명동점 1층에는 뷰티&라이프스타일 브랜드인 올리브영과 글로벌 스파 브랜드인 지오다노가 입점해 있다. 2층에는 개인 맞춤형 패션 플랫폼 트렌드 편집샵 브랜드 폴더와 로맨틱 라이프스타일 20~30대 여성 영캐주얼 브랜드 로엠 영패션 피플들을 위한 모던 컨템퍼러리 브랜드 드로우핏 유니크한 펑크스타일의 셀럽들의 워너비 브랜드 인스턴트펑크가 입점해 있다. 또한 인기 아이돌의 최신 앨범 콘서트용 라이트 스틱 희귀 포토카드와 잡지를 구매할 수 있는 K POP의 모든 것 올댓케이팝도 있다. 이외에도 카페 등도 있어 쇼핑을 하다가 쉬어갈 수 있다.,매장 별로 상이,연중무휴,입점브랜드:올리브영 / 지오다노 / 폴더 / 로엠 / 인스턴트펑크 / 신디 / 올댓케이팝 / 드로우핏 / 맷차 카페,쇼핑
해밀톤 쇼핑센터,서울특별시 용산구 이태원로 179 (이태원동),37.5347276602,126.9937149795,6호선 이태원역 1번 출구 오른편에 위치한 해밀톤 쇼핑센터는 종합쇼핑센터이다. 이태원 중심지에 위치하고 있어 접근성이 좋으며 유명 브랜드들이 입점해 있다. 각종 의류 및 잡화 뷰티 제품 등 다양한 품목을 구매할 수 있다.,점포별 상이,점포별 상이,,쇼핑
이태원 쇼핑거리,서울특별시 용산구 이태원동,37.533861039,126.9906791694,이태원 쇼핑거리는 1.4㎞ 도로구간 양측에 밀집한 2 400여개 업소가 다양한 상품을 저렴한 가격에 공급하는 종합 관광지이다. 이태원 쇼핑거리는 특히 다양성과 독특한 디자인의 제품으로 유명하며 여기에서는 주로 패션 아이템 액세서리 예술 작품 등을 찾을 수 있다. 외국인 관광객이 많이 방문하는 곳이라 외국어 소통이 자유롭고 서울 속의 작은 지구촌이다. 서울을 처음 방문하는 외국인들이 쇼핑 관광 숙박 정보 수집 등을 원스톱으로 서비스를 받을 수 있는 외국인 관광 허브이자 세계의 다국적 다민족적 다정체성의 문화적 정서가 수용되고 교감 되는 퓨전 문화지역이다.,매장마다 상이,매장마다 상이,,쇼핑
롯데백화점 본점,서울특별시 중구 남대문로 81,37.5647378465,126.9817152234,롯데백화점 본점은 서울 중구 을지로입구역 인근에 위치하였다. 이곳은 매일 새로움과 즐거운 경험을 제공한다. 롯데백화점 본점의 본관 에비뉴엘관에는 더욱 다양해진 프리미엄 여성 남성해외패션 브랜드들이 준비되어 있다. 갤러리에 온 듯한 특별한 미술품들도 매장에서 감상할 수 있다. 또한 내부에 한식 중식 양식 등 다양한 음식점들이 자리하여 쇼핑과 함께 먹거리도 즐길 수 있다. 역 앞에 위치하여서 방문하기 편하다.,월요일~목요일 10:30~20:00 금요일~일요일 10:30~20:30,명절 당일,입점브랜드:홈페이지 참조,쇼핑
통인시장,서울특별시 종로구 자하문로15길 18 (통인동),37.5808190992,126.9699630613,통인시장은 1941년 6월 일제강점기 효자동 인근 일본인들을 위해 설립된 공설시장이 모태이다. 6.25 전쟁 이후 서촌 지역의 급격한 인구 증가로 인한 소비공간의 필요에 따라 공설시장 주변으로 노점과 상점이 형성되면서 점차 시장의 형태를 갖추어 나가게 되었다. 2005년 ‘재래시장 육성을 위한 특별법(현행 전통시장 및 상점가 육성을 위한 특별법)’에 따라 ‘인정시장(認定市場)’으로 등록된 뒤 현대화 시설을 갖추었고 2010년 서울시와 종로구가 주관하는 ‘서울형 문화시장’으로 선정되었다. 2011년에는 시장상인회가 마을기업으로 (주)통인커뮤니티를 법인 등록하여 통합콜센터와 배송센터를 설치하고 온라인 쇼핑몰도 개설하였다. 점포 수는 70여 개로 식당 반찬가게 등 요식 관련 업소가 가장 많고 채소 과일 생선 정육 등 1차 생산품을 판매하는 업소가 그 다음이며 그밖에 내의 등 공산품 옷 수선 업소 등이 있다. 2012년 1월부터 ‘도시락카페 통(通)’을 운영하여 큰 호응을 얻고 있다.,"[통인시장] 07:00~21:00 단, 점포 별로 상이함 [도시락카페] 11:00~15:00 [엽전판매] 평일 15:00까지 / 주말 16:00까지","[통인시장]연중무휴 단, 점포 별로 상이함 [도시락카페[ 매주 화요일",제조자 이름: 입점브랜드:,쇼핑
서울풍물시장,서울특별시 동대문구 천호대로4길 21 (신설동),37.5727654781,127.0255193372,서울풍물시장은 원래 청계천이 복원되기 전 황학동을 중심으로 우리나라를 대표하는 벼룩시장 또는 만물시장이라는 이름으로 운영을 하고 있었다. 전국 각지에서 수집된 오래된 물건이나 상품을 판매하는 점포와 거리로 황학동 벼룩시장이 형성되었다. 청계천 복원 사업과 함께 황학동과 청계천변 노점 상태로 운영 중이던 황학동 벼룩시장은 (구) 동대문운동장 내 동대문 풍물벼룩시장으로 이전하여 영업을 해왔다. 그러던 중 (구) 동대문운동장 공원화 선행사업으로 관광산업과 연계한 우리나라를 대표하는 풍물시장 개발을 위해 청계천과 인접한 청계 8가 숭인여중 자리에 세계적인 풍물시장을 목표로 새로운 쇼핑의 명소가 될 서울풍물시장(Seoul Folk Flea Market)을 개장하였다. 서울풍물시장은 골동품 근현대사 상품 우리 고유의 옛것에부터 생활잡화 가방 구제의류까지 구매할 수 있는 다양한 상품을 판매하고 있다. 또한 전통생활용품 전시장등 다양한 볼거리 먹거리 즐길거리가 한 공간에 함께 있어 특색 있는 시장이다. 특히 지난 2015년도에는 ‘서울시 미래유산’으로 선정되었다.,시장 10:00~19:00 식당가 10:00~22:00,매주 화요일,제조자 이름: 입점브랜드:,쇼핑
스타필드 코엑스몰,서울특별시 강남구 영동대로 513 (삼성동),37.5119175967,127.059217995,트렌드와 문화의 흐름을 이끄는 도시의 매력 스타필드 코엑스몰이 서울의 중심에서 새로운 삶을 이야기한다. 동시대 패션과 미식 문화와 엔터테인먼트까지 도시의 감성이 깃든 다양한 선택지를 제공한다. 뷰티 패션 라이프스타일 등 320여 개 매장을 둘러보는 것만으로도 트렌드를 읽을 수 있고 100여 곳의 레스토랑과 카페에서 눈과 입이 동시에 즐거워지는 경험을 할 수 있다. 스타필드 코엑스몰 중심에 자리 잡은 ‘별마당 도서관’은 독서와 사색은 물론 문학과 예술 분야 명사와 소통하고 공감하는 문화공간이다.,10:00~22:00,연중무휴,입점브랜드:자라 / 유니클로 / H&M / 자주 / 까사미아 등,쇼핑
파르나스몰,서울특별시 강남구 테헤란로 521,37.5095984514,127.0608845757,호텔전문기업에서 최초로 선보이는 프리미엄 캐주얼 몰인 파르나스몰은 그랜드 인터컨티넨탈 서울 파르나스 지하 1층의 공간에 위치하고 있다. 파르나스몰은 one and only와 프리미엄을 추구하는 트렌디 쇼핑몰이다. 단순히 물건 구매만을 위한 쇼핑몰이 아닌 예술과 문화 그리고 쇼핑이 공존하는 새로운 개념의 쇼핑몰이다. 파르나스몰에서는 특별하고 품격 있는 브랜드들을 만나볼 수 있으며 문화 아틀리에 PAR T를 포함한 다양한 문화 행사들을 진행하고 있다.,10:30~22:00 일부 영업시간이 다른 매장이 있음 행사로 인해 영업시간이 변경되는 경우가 있음,연중무휴,입점브랜드:이솝 / 룰루레몬 / 올리브영 / 파타고니아 / 시스티나 등,쇼핑
언더스탠드에비뉴,서울특별시 성동구 왕십리로 63,37.5436136344,127.043596296,2016년 4월 18일 개관한 언더스탠드에비뉴는 민·관·기업 간 상생협력 사회공헌 프로젝트로 탄생한 창조적 공익문화공간이다. 개관 이후 현재까지 약 800만 명이 누적 방문했고 연간 130만 명 이상이 꾸준히 찾는 성동구의 대표 핫플레이스로 꼽힌다. 116개의 컨테이너 박스에서는 사회적 가치를 추구하는 청년 창업가와 함께 어르신 일자리 마련 및 취약 계층 고용도 지속하고 있다. 이로써 언더스탠드에비뉴는 따뜻한 성장을 대표하는 일자리 창출 플랫폼으로서의 역할을 수행하고 있다.,10:00~22:00 점포 별로 상이함,설·추석 전날 및 당일 점포 별로 상이함,,쇼핑
서촌나들이,서울특별시 종로구 자하문로 13,37.5772389972,126.9720046434,서촌나들이는 1970년대부터 경복궁 서촌 제1호 한복전문점으로 지금까지 우리 옷의 아름다움을 전해오고 있다. 단아하고 세련된 전통한복과 모던하고 화려한 스타일의 스페셜한복 등 다양한 색감과 디자인의 한복을 대여할 수 있다. 한복체험은 불가하고 졸업사진 돌잔치 등 행사를 위한 대여가 가능하다.,09:30~19:00,연중무휴,,쇼핑
홍대앞 희망시장,서울특별시 마포구 와우산로21길 19 3,37.5521688104,126.9229764878,‘하고 싶은 예술을 하며 모두와 협력하는 문화예술 협동조합’을 줄인 ‘하하협문화예술협동조합’에서 주관 및 운영하고 있는 홍대 앞 희망시장은 우리나라 최초의 수공예문화예술 행사이다. 젊은 창작가와 기획자 및 작가들이 자신의 작품을 인정받고 보여줄 수 있는 곳으로 지역주민들과 새롭고 독특한 문화를 찾아 즐기는 관람객들이 한데 어우러지는 의미 있는 공간으로 자리 잡았다.,13:00~18:00,매주 월요일 / 매년 12월~2월 / 우천시 휴장,제조자 이름: 입점브랜드:,쇼핑
아트코리아,서울특별시 종로구 자하문로 231,37.5947562474,126.9632160596,아트코리아는 화장품 브랜드 편집 숍이다. 국내/외 브랜드 및 자체 제작 화장품을 판매하고 진열대 제품 시연 및 직원의 설명 서비스를 제공받을 수 있다. 다양한 브랜드가 모여 있어 제품 비교는 물론 피부 타입에 따른 제품 구매에 용이하다. 아트코리아는 외국인을 대상으로 하는 사후면세점으로 운영하고 외국인의 쇼핑 편의성 제고를 위해 영어 중국어 일본어 가능 직원이 상주한다. 단체 방문객이 있을 때나 이벤트 지정 시간대에는 중앙 이벤트 판매장에서 특별 행사 제품을 판매하고 가격 할인 사은품 제공 등 다양한 이벤트도 상시 펼쳐진다.,9:00~17:00,연중무휴,입점브랜드:천비밀 이한카리노 / 천비밀 리타임즈 / 이한카리노 / 리타임즈 / 예한 / TSM,쇼핑
구로시장,서울특별시 구로구 구로동로22길 17 4 (구로동),37.4896837364,126.8856260957,1962년 경인국도를 따라 구로구에 대규모의 주택들과 구로공단이 형성되면서 시장이 필요해졌고 그에 따라 계획적으로 만들어진 시장이다. 구로시장은 구로구에 있는 재래시장 중 가장 먼저 터를 잡았으며 개장 초기 포목과 한복 의류 가게부터 해서 떡집 참기름 집 먹자골목 등이 형성되었다. 현재에도 구로시장에는 한복집이 많은데 그 이유는 구로공단에서 일했던 여성 노동자들이 명절 귀향길에 한복을 입고 가족 선물로도 한복을 많이 장만해 갔으며 혼수를 이곳에서 구입했기 때문이다. 남대문시장 동대문시장 다음으로 구로시장이란 말이 있을 정도로 이곳의 포목점은 호황을 누렸다. 시장 양 옆으로 포목점과 한복집이 늘어서면서 비단길이라고 불렀다고 한다. 2015년 노후화 시설을 개선하는 현대화 사업을 착수 날씨에도 안전한 아케이드를 설치하고 간판을 정비했다. 구로시장은 중국인 등 외국인이 많이 사는 동네라 여느 전통시장에서와는 다른 식재료들을 판매하는 곳이 많다. 그 외에도 우리의 전통적인 식품 반찬 농산물 수산물 의류 잡화 등 다양한 물건들을 저렴하게 판매하고 있다. 먹거리도 풍부해서 맷돌손두부 진한 팥죽 떡볶이 보리밥과 함께 나오는 칼국수 40년 전통의 엄마손국수공장 등 맛있는 음식을 가성비 있는 가격으로 맛볼 수 있다.,,매월 첫째 주 월요일,,쇼핑
신영시장(서울),서울특별시 양천구 월정로 161 5,37.5330778105,126.8360432845,신영시장은 즐길 거리 볼거리 먹거리가 있는 신월1동 시장이다. 서울시 25개 자치구 중 최초로 전통시장을 찾는 고객들이 여유로운 쇼핑과 편안한 휴식을 할 수 있도록 서울시 주민참여예산 1억 원을 확보하여 뉴제로마켓과 하늘문화센터를 개장하였다. 전통시장에서 값싸고 신선한 각종 채소 과일 생선 등을 골라 사는 재미와 함께 시장 카페에 들러 커피와 차를 마실 수 있는 휴식 공간을 제공한다. 뉴제로마켓은 양천지역자활센터와 상인회에서 운영하고 있으며 지역밀착형 카페 운영을 통해 전통시장 활성화와 양천구 저소득층의 자립기반 조성에도 기여하고 있다. 하늘문화센터에서는 주민들에게 취미생활을 제공하고 시장 고객과 주민 상인들의 각종 모임이나 취미 공간으로도 활용하고 있다.,점포 별로 상이함,점포 별로 상이함,,쇼핑
더블유피엠,서울특별시 중구 소공로 58 회현지하도상가 다 32호,37.5604550174,126.9820764229,세월을 수집하는 더블유피엠은 기념우표 화폐 그리고 특정 브랜드의 한정판 모델까지 옛날 물건을 만나며 시간 여행을 떠날 수 있다. 또한 수집품 판매뿐만 아니라 수집을 취미로 하는 다양한 사람들을 만날 수 있다. 물건에 담긴 추억을 수집하고 싶다면 회현 지하도 상가로 떠나보자.,,,,쇼핑
방이시장,서울특별시 송파구 백제고분로48길 41 (방이동),37.5104077116,127.1175821709,방이시장은 1980년대 말부터 형성된 골목형 종합시장이다. 의류 채소 생선 과일 잡화 등을 취급하는 240여 개 점포가 형성되어 있으며 상인의 70%가 동네 터줏대감들이다. 시대의 흐름에 발맞춰 친절하고 청결한 시장으로 거듭나면서 방이시장은 외국인들의 관광 필수 코스로 자리 잡았다.,,,제조자 이름: 입점브랜드:,쇼핑
더현대 서울,서울특별시 영등포구 여의대로 108 (여의도동),37.5271495732,126.9273156868,글로벌 트렌드 K 콘텐츠의 핵심 서울 그 중심에 초현대적인 플래그십 스토어 더현대 서울이 있다. 더현대 서울은 미래를 향한 울림이라는 슬로건 아래 더 행복한 내일을 위한 비전과 새로운 삶의 기준을 제시한다. 혁신적 공간 설계 세계적 콘텐츠 큐레이션 그리고 미래형 테크놀로지까지 더현대 서울은 서울 최대 규모의 뉴 글로벌 랜드마크이다. 새로운 소재와의 만남 면과 선의 균형 그리고 빛으로 가득 채우는 혁신적인 내부 설계를 자랑한다. 더현대 서울에서는 세계적인 인테리어&건축 디자인의 흐름을 단숨에 볼 수 있다. 내부에 들어서는 순간 사운즈 포레스트와 워터폴 가든을 만나게 된다. 미래를 바라보고 설계한 하이테크 건축물에서 만나는 뜻밖의 자연은 놀라울 정도로 아름답다. 약 1 000평의 대규모 실내 정원과 천연 잔디 20여 m의 높은 유리 천장에서 들어차는 자연 채광은 숲의 울림을 그대로 전하고 있다. 예술은 말하지 않아도 느낄 수 있고 공감할 수 있는 가장 큰 범주의 언어이다. 180평 규모의 입체적인 전시는 들어서는 순간 압도적으로 영감을 자극한다. 나은 삶의 영감과 문화를 위한 소통이 이곳에서 시작된다. Unite & Shine STUDIO SWINE 자연에서 온 메시지를 담은 디자인과 이를 즐기고 느끼는 관객으로 완성되는 Studio Swine의 아트워크가 Exclusive Label (1F) 플로어에서 하이엔드 브랜드와 만난다.,월요일~목요일 10:30~20:00 금요일~일요일 10:30~20:30 식당가 10:30~22:00,홈페이지 확인,,쇼핑
하모니마트 명동역점,서울특별시 중구 명동10길 58 신일빌딩 별관 지하 1층,37.5613522015,126.9857705052,하모니마트 명동역점은 서울 지하철 명동역 8번 출구에서 도보 1분 거리에 위치한 신일빌딩 별관 건물 지하 1층에 있는 슈퍼마켓이다. 외국인 입맛에 맞는 한국 김치 김 인삼제품 라면 공예품 생필품 기념품 등을 구비하고 있는데 가장 잘 팔리는 제품은 김 과자세트 인삼차다. 영어·중국어·일본어 응대가 가능하고 엔화와 위안화로도 결제가 가능하다.,8:00~24:00,연중무휴,,쇼핑
하우스 도산,서울특별시 강남구 압구정로46길 50 (신사동),37.5254239385,127.0356947531,2021년 2월에 문을 연 하우스 도산은 글로벌 패션 아이웨어 브랜드 젠틀몬스터를 운영하는 아이아이컴바인드의 대표 매장이다. 지하 1층~지상 4층 건물에 젠틀몬스터 디저트 브랜드 누데이크 화장품 브랜드 탬버린즈까지 자사의 여러 브랜드가 모여 있다. 하우스 도산은 퓨처 리테일의 새로운 방향성을 제시하고 젠틀몬스터가 선보일 또 다른 퓨처 리테일의 시작점이라고 할 수 있다.,11:00~21:00,연중무휴,입점브랜드:젠틀몬스터 / 누데이크 / 템버린즈 / 아이아이컴바인드 / 크라운구스 등,쇼핑
두타몰,서울특별시 중구 장충단로 275,37.5688767395,127.0087681967,두타몰은 서울 중구에 위치한 대형 쇼핑몰이다. 다양한 브랜드의 패션 뷰티 라이프스타일 제품을 한곳에서 만날 수 있는 복합 쇼핑 공간이다. 다양한 국내 디자이너 브랜드와 트렌디한 패션 아이템을 한곳에서 만나볼 수 있다. 특히 젊은 층을 겨냥한 트렌디한 매장이 많아 쇼핑의 즐거움을 더한다. 또한 다양한 음식점과 카페가 있어 쇼핑 중간에 휴식을 취하기에도 적합하다. 쇼핑과 문화 여가를 동시에 즐길 수 있는 공간이다.,10:30~00:00,연중무휴,,쇼핑
밀리오레 동대문점,서울특별시 중구 장충단로 263,37.5679629533,127.0085265783,밀리오레 동대문점은 한 공간에서 모든 것을 해결할 수 있는 원스톱 쇼핑 공간이다. 동대문은 종로5가역부터 동대문 지하철역까지 전통시장이 형성되어 있다. 최근에는 시장이 현대화되면서 프레야타운 두산타워 밀리오레 등 대형 패션몰들이 생겨났다. 동대문 밀리오레는 시장의 장점인 패션의류와 다양한 제품 저렴한 가격과 깨끗하고 백화점의 장점인 현대적인 건물 다양한 편의시설을 갖춘 패션몰이다. 지하 2층부터 지상 9층까지 수입명품 아동복 임부복 여성복 남성복 패션잡화 전통공예 기념품 한복 구두 등 모든 패션 아이템이 모여있다. 9층에는 식당가도 있어서 먹을거리 볼거리가 가득한 곳이다. 수도권 지하철 2 4 5호선 동대문역사문화공원역 14번 출구에서 도보 5분 거리에 있다. 청계천과 동대문(흥인지문)이 접해 있어서 국내외 관광객들이 많이 찾는다.,10:30~02:00,월요일 / 명절은 별도 공지,,쇼핑
채그로,서울특별시 마포구 마포대로4다길 31 (마포동),37.5357044387,126.9442833439,채그로는 책과 만나는 모든 행복한 접점을 만들어 내는 경험 공간이다. 책과 커피 한강뷰를 즐기면서 누구든 와서 행복감을 느낄 수 있는 복합문화공간이다. 넓은 유리창을 통해 한강을 바라보면서 책을 읽거나 사색에 잠기는 등 자기만의 시간을 갖기에 좋다. 친구와 가족과 수다를 떨면서 낭만을 즐기는 것도 대환영이다. 365일 서울 한강의 석양을 볼 수 있는 최고의 명소이며 멋진 서울의 야경을 즐길 수 있다. 채그로 이용가능 공간은 2~3층 5~6층 8~9층이다. 각 층 별로 공간이 나뉘어 있어 부담없이 이용할 수 있다.,09:30~21:30,연중무휴,체험안내:독서모임,쇼핑
숭인시장,서울특별시 강북구 도봉로 45 (미아동),37.6131858511,127.0294761615,미아삼거리에 위치한 40년 전통의 재래시장으로 지하철역과도 가까워서 접근성이 좋은 시장이다. 떡볶이가 맛있는 시장으로도 유명하다. 떡볶이 외에도 각종 먹거리 곡물 채소 과일 가공식품 각종 생필품을 취급 판매하고 있다. 주차는 숭인 주차장을 이용하면 된다.,점포별 상이,"매월 첫째 주, 셋째 주 일요일",입점브랜드:abc마트 자주(JAJU),쇼핑
인헌시장,서울특별시 관악구 봉천동,37.4748535543,126.9656136731,인헌시장은 서울 관악구 인헌동에 위치한 전통 재래시장으로 38년의 역사를 자랑한다. 현대화 사업을 통해 더욱 정돈된 모습으로 주민들에게 사랑받고 있는 곳이다. 큰 규모의 시장은 아니지만 다양한 품목의 식재료와 먹거리 잡화 등을 알차게 판매하고 있어 부족함이 없는 곳이다. 시장 특유의 정겨움도 느낄 수 있다.,점포 별로 상이함,점포 별로 상이함,,쇼핑
남성사계시장,서울특별시 동작구 동작대로29길 47 (사당동),37.4883938957,126.979403703,동작구 사당동의 전통 시장으로 과거 사당동의 명칭이 남성동이었을 때 붙여진 이름이다. 1966년부터 운영을 해오고 있는 곳으로 60년 가까운 역사를 품고 있는 전통시장이다. 시장 뒤편으로 대단지 아파트가 있고 전철역이나 대중교통으로도 접근성이 좋아 연평균 이용객이 5만 명을 넘는 지역 대표 전통시장이다. 관악구 동작구 전 지역과 서초구 일부 지역에 배달 서비스도 실시하고 있다. 입구에서부터 다양한 전과 반찬이 진열돼 있어 후각과 시각을 자극한다. 좁은 골목을 사이에 두고 상권이 길게 이어져 있으며 가게 옆 자투리 공간에는 작은 보따리 상인들이 손님을 맞는다.,09:00~22:00 점포 별로 상이함,연중무휴 점포 별로 상이함,,쇼핑
고척근린시장,서울특별시 구로구 고척로32길 11 3 (고척동),37.5021872007,126.8498040086,전통시장과 현대 시장의 분위기를 동시에 느낄 수 있는 시장이다. 총면적 약 2200㎡로 약 70여 개의 점포가 영업 중인 중소형으로 제로 페이가 대부분 가능하다. 1971년부터 영업을 시작했으며 주변에 고척 근린공원이 있어 찾기 쉽다. 아케이드 지붕으로 날씨에 상관없이 이용이 편리하고 주민들이 찾는 시장을 만들기 위해 프리마켓 독거노인 돕기 등 다양한 행사도 개최하고 있다.,09:00~21:00 점포 별로 상이함,매월 셋째 주 화요일 점포 별로 상이함,,쇼핑
뚝도시장,서울특별시 성동구 성수이로 32 15 (성수동2가),37.5378533948,127.0548426575,지형 삼면이 강으로 둘러싸여 있어 마치 섬 모양과 같다고 하여 뚝섬 또는 한자음으로 뚝도라고 불려졌다고 한다. 뚝도시장은 조선시대 때부터 강원도의 물건을 들여오는 길목에 위치해 있어서 남대문시장 동대문시장과 더불어 서울 3대 시장 중 하나였다고 한다. 현재의 모습을 갖춘 것은 1962년부터이다. 뚝도시장은 성동구 성수동에 위치한 전통재래시장으로서 최근 성수역을 중심으로 한 상권발달과 유동인구의 증가로 청년들의 먹거리 시장으로 떠올랐다. 또한 2016년부터 2018년까지 2년간 추진해 온 중기부 ‘청년상인 창업지원사업’ ‘2019년 청년몰 활성화 및 확장지원사업’ 부문에 선정되어 관심을 받는 곳이기도 하다.,09:00~23:00 점포 별로 상이함,연중무휴 점포 별로 상이함,,쇼핑
노룬산골목시장,서울특별시 광진구 자양동 816 79,37.5369286806,127.064750115,1970년대에 개설된 광진구에서 가장 역사 깊은 전통시장으로 정비가 잘되어 있는 골목형 시장이다. 건대입구역에서 나와 조금 걸으면 시장이어서 접근성이 좋으며 추억의 떡볶이와 전통 과자 등 다양한 먹거리도 인기다. 영동교 북단 방향으로 좀 더 걸으면 영동교골목시장까지 바로 연결되어 있어 동시에 이용할 수 있다.,점포별 상이,점포별 상이,,쇼핑
대신시장,서울특별시 영등포구 도신로60길 7 (신길동),37.5111234834,126.9176003574,서울특별시 영등포구 신길동에 위치한 재래시장이다. 1965년 개장하여 60년 가까운 역사를 지닌 상가형 시장이다. 신길동은 여의도와 샛강을 경계로 마주 보고 있는 곳으로 예전엔 서울로 들어오는 방학호진 나루터가 있을 만큼 교통의 요지였다고 한다. 그러다 보니 사람과 물건이 모여들었고 자연스럽게 시장이 생겨났다. 지금은 인근에 아파트 단지와 주택가들이 많이 밀집해 있어 이용객들이 많으며 정감 넘치고 인심 넘치는 재래시장으로 제 역할을 해내고 있다.,점포 별로 상이함,점포 별로 상이함,,쇼핑
가락몰,서울특별시 송파구 양재대로 932 (가락동),37.49615647,127.1110192841,가락농수산물도매시장 옆 송파대로 변에 현대식 건물로 지어진 쇼핑센터이다. 총 7개 동으로 구성되었으며 판매동 지하 1층은 청과물 지상 1층 수산물 건해물과 축산물을 판매한다. 2층은 마트 형식의 종합상가와 주방용품을 판매하며 3층은 전문식당관으로 운영되고 있다. 테마동 4관은 식품 식자재와 팔도 특산품 홍보매장도 운영한다. 2관에 있는 유기농 전문 마트 (주)다농도 주부들에게는 인기다.,점포별 상이,연중무휴 (점포별 상이),,쇼핑
정릉아리랑시장,서울특별시 성북구 아리랑로19길 10 (정릉동),37.6027034367,127.0128390879,아리랑고개로도 불리는 서울의 대표 고지대인 정릉에 있는 골목 시장이다. 정릉아리랑시장은 한국 영화 의 배경지였던 것에서 유래해 붙여진 이름으로 아리랑 골목 시장으로도 불린다. 2019년 SBS 예능프로그램 에 시장 내 청국장 전문식당과 지짐이집 수제함박스테이크집이 소개된 이후 맛집이 많은 시장으로 알려져 많은 사람이 방문하고 있다. 인근에 세계문화유산 정릉과 흥천사가 있어 함께 둘러보기 좋다.,점포 별로 상이함,점포 별로 상이함,,쇼핑
청량리청과물시장,서울특별시 동대문구 왕산로33길 4 (제기동),37.5797288624,127.0424287103,청량리청과물시장은 1958년부터 영업을 시작한 전통과 역사를 가진 청과물 전문 도매시장으로 약 170여 개의 점포가 성업 중이다. 경기도와 강원도에서 올라온 농산물은 이곳 청량리 시장으로 집결된 뒤 전국 각지로 다시 팔려나간다. 도매시장인 만큼 자정부터 새벽까지 시장이 활발하며 과일 외에 일반 시장처럼 야채 수산물 먹거리 등을 판매하는 점포들도 많다. 1호선 청량리역 1번 출구 앞에 있다.,00:00 ~ 24:00,,제조자 이름: 입점브랜드:,쇼핑
태릉시장,"서울특별시 중랑구 동일로129길 35 (중화동,태능에셈빌)",37.5992605586,127.0775638424,서울 중랑구 중랑역과 중화역 사이에 위치한 태릉시장은 1987년 복개도로 위에 자생한 노점으로 30년 넘게 재래시장 형태로 운영되어 오다가 2021년 서울시 태릉시장 특화 거리 조성 사업으로 시장 환경이 개선되었다. 태릉시장주상복합빌딩(태능에셈빌) 2층까지는 상가들이 입점해 있고 아파트 앞 노점들은 서울시 이동형 가게 모양으로 변화해 대로변에 직선으로 길게 늘어서 있다. 태릉시장 태릉 엔터피아로도 불린다.,점포별 상이,점포별 상이,,쇼핑
영일시장,서울특별시 영등포구 문래로30길 27 (문래동3가),37.5162531419,126.9007600806,서울 영등포구 문래동에 있는 영일시장은 농산물에 특화된 골목형 전통시장이다. 농산물에 특화된 시장이지만 생선 육류 건어물 식료품 등 일반 시장에서 살 수 있는 물건들도 판매한다. 2007년도 노점상 철거로 규모가 줄어들었으나 지금도 인근 식당과 음식점 슈퍼 전통시장의 상인들이 도매로 물건을 구입해 간다. 새벽 12시부터 4시 사이가 시장이 가장 활발하게 움직이는 시간이고 소매로도 판매한다. 오후 4시가 지나면 문 닫는 점포들도 많다. 지하철 2호선 문래역 6번 출구에서 약 500m 1호선 영등포역 6번 출구 약 600m 거리에 있다.,02:00~18:00 (점포별 상이),점포별 상이,,쇼핑
